2023-10-21 22:43:50,555 p=128758 u=igor n=ansible | [WARNING]: Invalid characters were found in group names but not replaced, use -vvvv to see details
2023-10-21 22:50:02,615 p=128758 u=igor n=ansible | changed: [172.16.121.20]
2023-10-21 22:50:02,626 p=128758 u=igor n=ansible | TASK [kibana : Update] *************************************************************************************************************
2023-10-21 22:50:03,946 p=128758 u=igor n=ansible | ok: [172.16.121.20]
2023-10-21 22:50:03,952 p=128758 u=igor n=ansible | TASK [kibana : Download kibana] ****************************************************************************************************
2023-10-21 22:50:18,353 p=128758 u=igor n=ansible | changed: [172.16.121.20]
2023-10-21 22:50:18,359 p=128758 u=igor n=ansible | TASK [kibana : Install kibana] *****************************************************************************************************
2023-10-21 22:52:10,745 p=128758 u=igor n=ansible | changed: [172.16.121.20]
2023-10-21 22:52:10,755 p=128758 u=igor n=ansible | TASK [kibana : Copy config] ********************************************************************************************************
2023-10-21 22:52:11,860 p=128758 u=igor n=ansible | changed: [172.16.121.20]
2023-10-21 22:52:11,871 p=128758 u=igor n=ansible | TASK [kibana : remove default site] ************************************************************************************************
2023-10-21 22:52:12,440 p=128758 u=igor n=ansible | changed: [172.16.121.20]
2023-10-21 22:52:12,447 p=128758 u=igor n=ansible | TASK [kibana : Copy config nginx] **************************************************************************************************
2023-10-21 22:52:13,515 p=128758 u=igor n=ansible | changed: [172.16.121.20]
2023-10-21 22:52:13,528 p=128758 u=igor n=ansible | TASK [kibana : Create a symbolic link] *********************************************************************************************
2023-10-21 22:52:14,116 p=128758 u=igor n=ansible | changed: [172.16.121.20]
2023-10-21 22:52:14,121 p=128758 u=igor n=ansible | TASK [kibana : Copy config nginx] **************************************************************************************************
2023-10-21 22:52:15,235 p=128758 u=igor n=ansible | changed: [172.16.121.20]
2023-10-21 22:52:15,241 p=128758 u=igor n=ansible | TASK [kibana : Restart nginx] ******************************************************************************************************
2023-10-21 22:52:16,003 p=128758 u=igor n=ansible | changed: [172.16.121.20]
2023-10-21 22:52:16,011 p=128758 u=igor n=ansible | TASK [kibana : started kibana] *****************************************************************************************************
2023-10-21 22:52:16,688 p=128758 u=igor n=ansible | changed: [172.16.121.20]
2023-10-21 22:52:16,695 p=128758 u=igor n=ansible | TASK [kibana : enable kibana] ******************************************************************************************************
2023-10-21 22:52:17,796 p=128758 u=igor n=ansible | changed: [172.16.121.20]
2023-10-21 22:52:17,805 p=128758 u=igor n=ansible | TASK [kibana : export dashboard] ***************************************************************************************************
2023-10-21 22:52:18,851 p=128758 u=igor n=ansible | changed: [172.16.121.20]
2023-10-21 22:52:18,858 p=128758 u=igor n=ansible | TASK [kibana : verify is up] *******************************************************************************************************
2023-10-21 22:52:31,203 p=128758 u=igor n=ansible | ok: [172.16.121.20]
2023-10-21 22:52:31,211 p=128758 u=igor n=ansible | TASK [kibana : include] ************************************************************************************************************
2023-10-21 22:52:31,253 p=128758 u=igor n=ansible | included: /home/igor/git/diplom-sys19/project/ansible/roles/kibana/tasks/pattern.yml for 172.16.121.20
2023-10-21 22:52:31,262 p=128758 u=igor n=ansible | TASK [kibana : post to consul] *****************************************************************************************************
2023-10-21 22:52:47,699 p=128758 u=igor n=ansible | ok: [172.16.121.20]
2023-10-21 22:52:47,704 p=128758 u=igor n=ansible | TASK [kibana : Import Kibana dashboard] ********************************************************************************************
2023-10-21 22:52:48,705 p=128758 u=igor n=ansible | ok: [172.16.121.20]
2023-10-21 22:52:48,731 p=128758 u=igor n=ansible | PLAY [zabbix-elvm] *****************************************************************************************************************
2023-10-21 22:52:48,748 p=128758 u=igor n=ansible | TASK [Gathering Facts] *************************************************************************************************************
2023-10-21 22:52:50,172 p=128758 u=igor n=ansible | ok: [172.16.121.21]
2023-10-21 22:52:50,182 p=128758 u=igor n=ansible | TASK [nginx : Install nginx] *******************************************************************************************************
2023-10-21 22:53:24,626 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:53:24,631 p=128758 u=igor n=ansible | TASK [nginx : Copy config] *********************************************************************************************************
2023-10-21 22:53:25,722 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:53:25,728 p=128758 u=igor n=ansible | TASK [nginx : Copy index.html] *****************************************************************************************************
2023-10-21 22:53:26,782 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:53:26,788 p=128758 u=igor n=ansible | TASK [nginx : replace in sql files] ************************************************************************************************
2023-10-21 22:53:27,362 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:53:27,368 p=128758 u=igor n=ansible | TASK [nginx : Restart nginx] *******************************************************************************************************
2023-10-21 22:53:28,123 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:53:28,129 p=128758 u=igor n=ansible | TASK [zabbix-agent : download zabbix agent file with proxy] ************************************************************************
2023-10-21 22:53:29,526 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:53:29,532 p=128758 u=igor n=ansible | TASK [zabbix-agent : Install zabbix agent] *****************************************************************************************
2023-10-21 22:53:31,974 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:53:31,980 p=128758 u=igor n=ansible | TASK [zabbix-agent : Install zabbix agent] *****************************************************************************************
2023-10-21 22:53:43,664 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:53:43,669 p=128758 u=igor n=ansible | TASK [zabbix-agent : stopped zabbix agent] *****************************************************************************************
2023-10-21 22:53:44,406 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:53:44,415 p=128758 u=igor n=ansible | TASK [zabbix-agent : Remove  zabbix agent] *****************************************************************************************
2023-10-21 22:53:44,983 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:53:44,989 p=128758 u=igor n=ansible | TASK [zabbix-agent : Copy config] **************************************************************************************************
2023-10-21 22:53:46,023 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:53:46,029 p=128758 u=igor n=ansible | TASK [zabbix-agent : zabbix-agent] *************************************************************************************************
2023-10-21 22:53:46,857 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:53:46,866 p=128758 u=igor n=ansible | TASK [zabbix : Update] *************************************************************************************************************
2023-10-21 22:53:48,747 p=128758 u=igor n=ansible | ok: [172.16.121.21]
2023-10-21 22:53:48,754 p=128758 u=igor n=ansible | TASK [zabbix : Delete nginx site default] ******************************************************************************************
2023-10-21 22:53:49,323 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:53:49,334 p=128758 u=igor n=ansible | TASK [zabbix : Copy config nginx] **************************************************************************************************
2023-10-21 22:53:50,446 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:53:50,452 p=128758 u=igor n=ansible | TASK [zabbix : Copy config] ********************************************************************************************************
2023-10-21 22:53:51,547 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:53:51,552 p=128758 u=igor n=ansible | TASK [zabbix : Install required packages] ******************************************************************************************
2023-10-21 22:54:35,781 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:54:35,787 p=128758 u=igor n=ansible | TASK [zabbix : Install packages] ***************************************************************************************************
2023-10-21 22:55:04,560 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:55:04,566 p=128758 u=igor n=ansible | TASK [zabbix : Install zabbix packages] ********************************************************************************************
2023-10-21 22:55:34,309 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:55:34,315 p=128758 u=igor n=ansible | TASK [zabbix : Create postgres user for my app] ************************************************************************************
2023-10-21 22:55:35,154 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:55:35,161 p=128758 u=igor n=ansible | TASK [zabbix : create postgresql db] ***********************************************************************************************
2023-10-21 22:55:36,119 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:55:36,126 p=128758 u=igor n=ansible | TASK [zabbix : Ensure we have access from the new user] ****************************************************************************
2023-10-21 22:55:36,958 p=128758 u=igor n=ansible | ok: [172.16.121.21]
2023-10-21 22:55:36,964 p=128758 u=igor n=ansible | TASK [zabbix : Initialize the database] ********************************************************************************************
2023-10-21 22:56:02,059 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:56:02,176 p=128758 u=igor n=ansible | TASK [zabbix : DBPassword change] **************************************************************************************************
2023-10-21 22:56:02,974 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:56:02,983 p=128758 u=igor n=ansible | TASK [zabbix : Copy config zabbix] *************************************************************************************************
2023-10-21 22:56:04,055 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:56:04,063 p=128758 u=igor n=ansible | TASK [zabbix : Restart agent] ******************************************************************************************************
2023-10-21 22:56:04,897 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:56:04,904 p=128758 u=igor n=ansible | TASK [zabbix : zabbix-agent enabled] ***********************************************************************************************
2023-10-21 22:56:05,624 p=128758 u=igor n=ansible | ok: [172.16.121.21]
2023-10-21 22:56:05,630 p=128758 u=igor n=ansible | TASK [zabbix : Restart service nginx] **********************************************************************************************
2023-10-21 22:56:06,410 p=128758 u=igor n=ansible | changed: [172.16.121.21]
2023-10-21 22:56:06,421 p=128758 u=igor n=ansible | TASK [zabbix : Enable service nginx] ***********************************************************************************************
2023-10-21 22:56:07,140 p=128758 u=igor n=ansible | ok: [172.16.121.21]
2023-10-21 22:56:07,146 p=128758 u=igor n=ansible | TASK [zabbix : Restart zabbix-server] **********************************************************************************************
